category,product_name,product_price,rating,discount,reviews,rating_val,date,month,year,sales ,revenue,product_description
Android mobile,CMF by Nothing Phone 1 ,16499,9468,25, 561 ,3.4,8,8,2012,254,4190746,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7300 5G Processor1 Year Manufacturing Warranty
Android mobile,CMF by Nothing Phone 1 ,16499,9468,25, 561 ,3.5,27,12,2018,205,3382295,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7300 5G Processor1 Year Manufacturing Warranty
Android mobile,vivo T3 Lite 5G ,11499,37949,25," 1,212 ",3.9,26,5,2022,209,2403291,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.66 cm (6.56 inch) Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Android mobile,CMF by Nothing Phone 1 ,16499,9468,25, 561 ,3.1,10,10,2011,188,3101812,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7300 5G Processor1 Year Manufacturing Warranty
Android mobile,POCO M6 5G ,9799,35034,30," 1,785 ",4.1,5,1,2025,226,2214574,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryMediatek Dimensity 6100+ Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
Android mobile,Motorola G85 5G ,18999,24445,17," 1,153 ",3,27,3,2013,178,3381822,12 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 8MP | 32MP Front Camera5000 mAh Battery6s Gen 3 Processor1 Year on Handset and 6 Months on Accessories
Android mobile,REDMI 13c 5G ,13973,6188,22, 312 ,4.5,31,4,2015,234,3269682,8 GB RAM | 256 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera5000 mAh Battery1 Year
Android mobile,POCO M6 5G ,9799,35034,30," 1,785 ",3,18,4,2016,108,1058292,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryMediatek Dimensity 6100+ Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
Android mobile,CMF by Nothing Phone 1 ,14999,34816,25," 2,320 ",2,6,4,2025,164,2459836,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7300 5G Processor1 Year Manufacturing Warranty
Android mobile,realme 12x 5G ,11999,12122,29, 755 ,2.3,23,2,2023,294,3527706,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6100+ Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Android mobile,vivo T3 5G ,20499,61344,18," 4,064 ",1.1,21,1,2014,148,3033852,8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7200 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Android mobile,REDMI 12 ,7999,61355,50," 3,758 ",3.7,3,1,2025,139,1111861,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display50MP + 8MP + 2MP | 8MP Front Camera5000 mAh BatteryHelio G88 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
Android mobile,Tecno Spark Go 1 ,7499,946,16, 34 ,2.4,2,2,2016,201,1507299,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) HD+ Display13MP Rear Camera | 8MP Front Camera5000 mAh BatteryUnisoc T616 Ocra Core Processor1 year Manufacturer Warranty
Android mobile,vivo T3 Lite 5G ,10499,26271,27, 840 ,4.1,16,1,2023,295,3097205,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.66 cm (6.56 inch) Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Android mobile,POCO C61 ,6299,33690,30," 1,073 ",2.6,24,12,2024,124,781076,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.04 cm (6.71 inch) HD+ Display8MP Rear Camera | 5MP Front Camera5000 mAh BatteryHelio G36 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
Android mobile,vivo T3 5G ,18499,61344,19," 4,064 ",4.9,9,8,2010,278,5142722,8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7200 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Android mobile,Google Pixel 9 ,79999,1006,0, 100 ,2.4,13,6,2014,217,17359783,12 GB RAM | 256 GB ROM16.0 cm (6.3 inch) Display50MP + 48MP | 10.5MP Front Camera4700 mAh BatteryGoogle Tensor G4 Processor1 Year Domestic Warranty
Android mobile,POCO X5 Pro 5G ,13599,44694,53," 4,158 ",1.5,18,6,2020,167,2271033,8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display108MP + 8MP + 2MP | 16MP Front Camera5000 mAh BatteryQualcomm Snapdragon 778G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
Android mobile,vivo T3 5G ,18499,61344,19," 4,064 ",3.6,11,3,2012,300,5549700,8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7200 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Android mobile,CMF by Nothing Phone 1 ,15999,34816,20," 2,320 ",2.2,14,8,2019,208,3327792,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7300 5G Processor1 Year Manufacturing Warranty
Android mobile,Tecno Spark Go 1 ,7499,946,16, 34 ,3.8,29,4,2023,293,2197207,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) HD+ Display13MP Rear Camera | 8MP Front Camera5000 mAh BatteryUnisoc T616 Ocra Core Processor1 year Manufacturer Warranty
Android mobile,Infinix Smart 8 Plus ,7799,8085,22, 472 ,1.2,23,3,2018,130,1013870,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.76 cm (6.6 inch) HD+ Display50MP + AI Lens | 8MP Front Camera6000 mAh BatteryMediatek Helio G36 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
Android mobile,realme C61 ,8999,2198,10, 65 ,3,1,11,2025,212,1907788,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.13 cm (6.745 inch) HD+ Display32MP Rear Camera | 5MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Android mobile,POCO C65 ,7799,24415,35," 1,165 ",1,7,10,2024,100,779900,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP + AI Lens + 2MP | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
Android mobile,vivo T3 Lite 5G ,10499,26271,27, 840 ,2.6,14,5,2010,185,1942315,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.66 cm (6.56 inch) Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Android mobile,REDMI 13c 5G ,10612,14563,33, 594 ,4.1,29,11,2018,174,1846488,6 GB RAM | 128 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera5000 mAh Battery1 Year
Android mobile,REDMI 13c 5G ,9685,25822,30, 959 ,1.5,25,1,2025,132,1278420,4 GB RAM | 128 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera5000 mAh Battery1 Year
Android mobile,vivo T3 5G ,20499,61344,18," 4,064 ",3,1,8,2013,246,5042754,8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 7200 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Android mobile,SAMSUNG Galaxy S24+ 5G ,69999,1984,30, 96 ,1.9,23,6,2025,180,12599820,12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Quad HD+ Display50MP + 10MP + 12MP | 12MP Front Camera4900 mAh BatteryExynos 2400 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
Android mobile,Infinix GT 20 Pro ,24999,4350,28, 296 ,2.4,4,3,2010,194,4849806,12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display108MP (OIS) + 2MP + 2MP | 32MP Front Camera5000 mAh BatteryDimensity 8200 Ultimate Processor1 Year Warranty
Android mobile,Infinix GT 20 Pro ,24999,4350,28, 296 ,1,4,10,2014,274,6849726,12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display108MP (OIS) + 2MP + 2MP | 32MP Front Camera5000 mAh BatteryDimensity 8200 Ultimate Processor1 Year Warranty
Android mobile,Infinix GT 20 Pro ,24999,4350,28, 296 ,1.5,17,9,2022,201,5024799,12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display108MP (OIS) + 2MP + 2MP | 32MP Front Camera5000 mAh BatteryDimensity 8200 Ultimate Processor1 Year Warranty
Android mobile,Nothing Phone ,23999,1809,20, 99 ,3.1,2,1,2018,255,6119745,8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 50MP | 50MP Front Camera5000 mAh BatteryDimensity 7350 Pro 5G Processor1 Year Manufacturing Warranty
Android mobile,Infinix Note 40X 5G ,13999,1174,30, 73 ,2.2,23,5,2010,219,3065781,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.22 cm (6.78 inch) Full HD+ Display108MP + 2MP + AI Lens | 8MP Front Camera5000 mAh Lithium-ion Polymer BatteryDimensity 6300 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
Android mobile,realme C61 ,8999,3848,18, 85 ,2.7,27,12,2025,300,2699700,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.13 cm (6.745 inch) HD+ Display32MP Rear Camera | 5MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Android mobile,vivo T3 Lite 5G ,11499,37949,25," 1,212 ",1.6,11,3,2025,132,1517868,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.66 cm (6.56 inch) Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Android mobile,Motorola G34 5G ,11999,133496,20," 9,449 ",1.8,4,8,2018,171,2051829,8 GB RAM | 128 GB ROM16.51 cm (6.5 inch) HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh BatterySnapdragon 695 5G Processor1 Year on Handset and 6 Months on Accessories
Android mobile,REDMI Note 13 Pro 5G ,21720,5078,34, 367 ,3.2,30,12,2021,266,5777520,12 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display200MP (OIS) + 8MP + 2MP | 16MP Front Camera5100 mAh Battery7s Gen 2 Mobile Platform 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
Android mobile,Infinix GT 20 Pro ,22999,6665,28, 516 ,3,8,1,2025,129,2966871,8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display108MP (OIS) + 2MP + 2MP | 32MP Front Camera5000 mAh BatteryDimensity 8200 Ultimate Processor1 Year Warranty
Android mobile,Motorola G85 5G ,16999,68387,19," 3,091 ",1.4,1,6,2022,151,2566849,8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 8MP | 32MP Front Camera5000 mAh Battery6s Gen 3 Processor1 Year on Handset and 6 Months on Accessories
Android mobile,Infinix GT 20 Pro ,22999,6665,28, 516 ,2.2,17,6,2023,120,2759880,8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display108MP (OIS) + 2MP + 2MP | 32MP Front Camera5000 mAh BatteryDimensity 8200 Ultimate Processor1 Year Warranty
Android mobile,MOTOROLA Edge 50 ,26999,11161,18, 690 ,3.8,14,1,2023,176,4751824,8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display50MP + 13MP + 10MP | 32MP Front Camera5000 mAh BatterySnapdragon 7 Gen 1 Accelerated Edition Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
Android mobile,Infinix GT 20 Pro ,22999,6665,28, 516 ,1.6,22,8,2014,298,6853702,8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display108MP (OIS) + 2MP + 2MP | 32MP Front Camera5000 mAh BatteryDimensity 8200 Ultimate Processor1 Year Warranty
Android mobile,POCO C61 ,6299,33690,30," 1,073 ",2,12,7,2012,109,686591,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.04 cm (6.71 inch) HD+ Display8MP Rear Camera | 5MP Front Camera5000 mAh BatteryHelio G36 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
Android mobile,POCO C61  - Locked with Airtel Prepaid ,5799,33690,35," 1,073 ",1.1,18,5,2022,159,922041,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.04 cm (6.71 inch) HD+ Display8MP Rear Camera | 5MP Front Camera5000 mAh BatteryHelio G36 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
Android mobile,Infinix Smart 8 Plus ,7799,8085,22, 472 ,3,23,12,2013,281,2191519,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB16.76 cm (6.6 inch) HD+ Display50MP + AI Lens | 8MP Front Camera6000 mAh BatteryMediatek Helio G36 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
Android mobile,vivo T3x 5G ,14499,77492,23," 2,782 ",4,21,1,2012,252,3653748,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera6000 mAh Battery6 Gen 1 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Android mobile,SAMSUNG Galaxy S24+ 5G ,69999,1984,30, 96 ,3.6,16,1,2013,236,16519764,12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Quad HD+ Display50MP + 10MP + 12MP | 12MP Front Camera4900 mAh BatteryExynos 2400 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
Android mobile,REDMI 13C ,8499,18014,39, 717 ,2.5,31,5,2023,119,1011381,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
Android mobile,Nothing Phone ,25999,1252,18, 75 ,4.7,5,6,2021,168,4367832,12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 50MP | 50MP Front Camera5000 mAh BatteryDimensity 7350 Pro 5G Processor1 Year Manufacturing Warranty
Android mobile,Nothing Phone ,25999,1252,18, 75 ,3.6,6,2,2013,227,5901773,12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 50MP | 50MP Front Camera5000 mAh BatteryDimensity 7350 Pro 5G Processor1 Year Manufacturing Warranty
Android mobile,Motorola Edge 50 Neo ,23999,4735,20, 346 ,3.1,23,2,2010,198,4751802,8 GB RAM | 256 GB ROM16.26 cm (6.4 inch) Super HD Display50MP + 13MP + 10MP | 32MP Front Camera4310 mAh BatteryDimensity 7300 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
Android mobile,POCO C61  - Locked with Airtel Prepaid ,5799,33690,35," 1,073 ",3,27,6,2024,277,1606323,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.04 cm (6.71 inch) HD+ Display8MP Rear Camera | 5MP Front Camera5000 mAh BatteryHelio G36 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
Android mobile,realme C63 ,8999,4164,18, 179 ,2.9,6,8,2025,185,1664815,4 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 8MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Android mobile,REDMI Note 13 Pro 5G ,19270,22203,33," 1,791 ",4.5,4,5,2011,226,4355020,8 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Display200MP (OIS) + 8MP + 2MP | 16MP Front Camera5100 mAh Battery7s Gen 2 Mobile Platform 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
Android mobile,Infinix HOT 40i ,8999,17690,18," 1,020 ",3,12,5,2020,235,2114765,8 GB RAM | 256 GB ROM | Expandable Upto 2 TB16.76 cm (6.6 inch) HD+ Display50MP + AI Lens | 32MP Front Camera5000 mAh BatteryUnisoc T606 Processor1 Year on Handset and 6 Months on Accessories
Android mobile,realme Narzo N61 ,7129,237,17, 8 ,4.7,28,6,2023,265,1889185,4 GB RAM | 64 GB ROM17.12 cm (6.74 inch) Display32MP Rear Camera5000 mAh Battery1 Year
Android mobile,REDMI 13 5G ,13499,7551,25, 269 ,3.6,31,11,2021,109,1471391,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display108MP + 2MP | 13MP Front Camera5030 mAh Lithium Polymer Battery4 Gen 2 AE Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
Android mobile,realme Narzo N61 ,8369,194,16, 6 ,2.2,25,4,2015,275,2301475,6 GB RAM | 128 GB ROM17.12 cm (6.74 inch) Display32MP Rear Camera5000 mAh Battery1 Year
Android mobile,POCO C61 ,6299,33690,30," 1,073 ",2.7,8,9,2018,223,1404677,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.04 cm (6.71 inch) HD+ Display8MP Rear Camera | 5MP Front Camera5000 mAh BatteryHelio G36 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
Android mobile,Motorola G85 5G ,18999,24445,17," 1,153 ",1.4,18,7,2020,290,5509710,12 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Full HD+ Display50MP + 8MP | 32MP Front Camera5000 mAh Battery6s Gen 3 Processor1 Year on Handset and 6 Months on Accessories
Android mobile,POCO C61  - Locked with Airtel Prepaid ,5799,33690,35," 1,073 ",2.1,28,12,2024,168,974232,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.04 cm (6.71 inch) HD+ Display8MP Rear Camera | 5MP Front Camera5000 mAh BatteryHelio G36 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
Android mobile,REDMI 13 5G ,14999,1493,25, 50 ,3.6,18,5,2015,160,2399840,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.25 cm (6.79 inch) Full HD+ Display108MP + 2MP | 13MP Front Camera5030 mAh Lithium Polymer Battery4 Gen 2 AE Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
Android mobile,POCO X6 Neo 5G ,12999,17308,35," 1,238 ",4.3,13,3,2016,241,3132759,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Full HD+ Display108MP + 2MP | 16MP Front Camera5000 mAh BatteryDimensity 6080 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
Android mobile,REDMI 13C 5G ,13499,6188,25, 312 ,3.3,5,6,2024,235,3172265,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryMediatek Dimensity 6100+ Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
Android mobile,Infinix Hot 50 5G ,10999,1852,26, 102 ,2.8,27,10,2010,214,2353786,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.02 cm (6.7 inch) HD+ Display48MP + Depth Sensor | 8MP Front Camera5000 mAh Lithium-ion Polymer BatteryDimensity 6300 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
Android mobile,vivo T3 Pro 5G ,24999,16167,16, 940 ,3.4,27,2,2017,121,3024879,8 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Full HD+ AMOLED Display50MP + 8MP | 16MP Front Camera5500 mAh BatterySnapdragon 7 Gen 3 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
Android mobile,vivo T3 Pro 5G ,26999,16167,15, 940 ,2.6,28,2,2017,161,4346839,8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Full HD+ AMOLED Display50MP + 8MP | 16MP Front Camera5500 mAh BatterySnapdragon 7 Gen 3 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
Android mobile,Tecno Pova 6 Neo ,13999,89,17, 6 ,1.5,14,3,2020,160,2239840,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Display108MP Rear Camera5000 mAh BatteryMediatek Dimensity 6300 Processor1 year manufacturer Warranty
Android mobile,realme C61 ,8999,3848,18, 85 ,2.3,8,6,2016,144,1295856,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.13 cm (6.745 inch) HD+ Display32MP Rear Camera | 5MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Android mobile,vivo T3 Pro 5G ,26999,16167,15, 940 ,4.9,18,1,2017,143,3860857,8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Full HD+ AMOLED Display50MP + 8MP | 16MP Front Camera5500 mAh BatterySnapdragon 7 Gen 3 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
Android mobile,realme Narzo N61 ,7129,237,17, 8 ,3.5,4,9,2016,287,2046023,4 GB RAM | 64 GB ROM17.12 cm (6.74 inch) Display32MP Rear Camera5000 mAh Battery1 Year
Android mobile,Tecno Spark Go 1 ,7499,946,16, 34 ,4.4,15,11,2010,121,907379,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) HD+ Display13MP Rear Camera | 8MP Front Camera5000 mAh BatteryUnisoc T616 Ocra Core Processor1 year Manufacturer Warranty
Android mobile,realme P2 Pro 5G ,27999,1656,9, 98 ,3.6,3,1,2012,207,5795793,12 GB RAM | 512 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP | 32MP Front Camera5200 mAh Battery7s Gen2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Android mobile,realme P2 Pro 5G ,27999,1656,9, 98 ,3.9,25,5,2022,258,7223742,12 GB RAM | 512 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 8MP | 32MP Front Camera5200 mAh Battery7s Gen2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
Android mobile,MOTOROLA Edge 50 ,26999,11161,18, 690 ,3.8,28,3,2022,226,6101774,8 GB RAM | 256 GB ROM16.94 cm (6.67 inch) Display50MP + 13MP + 10MP | 32MP Front Camera5000 mAh BatterySnapdragon 7 Gen 1 Accelerated Edition Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
